Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,5,Correct,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,3,Incorrect,1
Basic Problem C-01,1,Incorrect,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,4,Correct,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,3,Correct,3
Basic Problem C-06,4,Incorrect,7
Basic Problem C-07,6,Incorrect,2
Basic Problem C-08,4,Incorrect,5
Basic Problem C-09,2,Correct,2
Basic Problem C-10,1,Incorrect,7
Basic Problem C-11,3,Incorrect,4
Basic Problem C-12,3,Incorrect,8
